Ref,Soil,Site,Field,Method,Depth.cm_Top,Depth.cm_Bottom,Height.cm,Dia.cm,Ksat,Units_Ksat,Stdev_Ksat,Ksat_cmhr,Stdev_Ksat_cmhr,Db,Stdev_Db,Calculated_Db,Mean_Db,VCOS,COS,MS,FS,VFS,Sand,Silt,Clay,Stdev_Sand,Stdev_Silt,Stdev_Clay,Stdev_Coarsefragment,Coarsefraction,Texclass,TexModifier_code,Texclass_Code,Tex_additional_info,Texture_unknown,Structure,OC,Stdev_OC,OM,Units_OM,Horizon,Th_sat,Ref2,Remark
4,Norfolk Sand,SC R2/S4,Field,Ponding,,,,306,250,k x 10^+3,,0.25,,1.76666666666667,0.0152752523165195,,,3.23333333333333,25.1333333333333,30.1333333333333,11.5666666666667,1.9,71.9666666666667,12.6666666666667,15.4666666666667,,2.34591844132173,3.33816316757184,2.26789182575651,,,,,,,,,,,,B22,,,Bulk Density and Particle Size are calculated Avg's
4,Norfolk Sand,SC R1/S5,Field,Ponding,,,,306,713,k x 10^+3,,0.713,,0.775,1.09601551083915,,,1.5,23.8,36.1,23.55,5.8,90.75,4.2,5.1,,1.97989898732234,0.989949493661169,5.5154328932551,,,,,,,,,,,,Ap,,,Bulk Density and Particle Size are calculated Avg's
4,Norfolk Sand,SC R1/S5,Field,Ponding,,,,306,738,k x 10^+3,,0.738,,1.75333333333333,0.119303534454492,,,2.03333333333333,25.1333333333333,36,21.6,5.36666666666667,90.1333333333333,4.7,5.2,,1.05356537528528,0.435889894354057,6.25806146768576,,,,,,,,,,,,Ap,,,Bulk Density and Particle Size are calculated Avg's
4,Norfolk Sand,SC R1/S5,Field,Ponding,,,,306,785,k x 10^+3,,0.785,,1.83,0.0556776436282991,,,1.16666666666667,19.2333333333333,31.8333333333333,22.8333333333333,5.2,80.2666666666667,8.3,11.4333333333333,,0.19999999999998,3.71662929727104,1.4468356276141,,,,,,,,,,,,A2,,,Bulk Density and Particle Size are calculated Avg's
4,Norfolk Sand,SC R1/S5,Field,Ponding,,,,306,890,k x 10^+3,,0.89,,1.70666666666667,0.138684293751431,,,0.866666666666667,17.1666666666667,26.2666666666667,20.6,4.73333333333333,69.6333333333333,8,22.3333333333333,,0.200000000000016,1.91398362932746,2.31804515342848,,,,,,,,,,,,B1,,,Bulk Density and Particle Size are calculated Avg's
4,Norfolk Sand,SC R1/S5,Field,Ponding,,,,306,100,k x 10^+3,,0.1,,1.61,0.0781024967590665,,,0.966666666666667,15.3666666666667,26.9333333333333,19.2666666666667,3.76666666666667,66.3,6.4,27.3,,1.21243556529822,0.173205080756153,1.10151410945724,,,,,,,,,,,,B21t,,,Bulk Density and Particle Size are calculated Avg's
4,Norfolk Sand,SC R1/S5,Field,Ponding,,,,306,686,k x 10^+3,,0.686,,1.58,0.01,,,1.23333333333333,16.9,27.6,18.3,3.16666666666667,67.2,6.5,26.4,,1.64620776331543,1.47309198626557,0.608276253029826,,,,,,,,,,,,B21t,,,Bulk Density and Particle Size are calculated Avg's
4,Norfolk Sand,SC R1/S5,Field,Ponding,,,,306,559,k x 10^+3,,0.559,,1.50333333333333,0.0251661147842359,,,0.766666666666667,13.9666666666667,26.2666666666667,17.3,3.7,62,4.33333333333333,33.7333333333333,,0.152752523165183,1.05987420637269,0.611010092660826,,,,,,,,,,,,B21t,,,Bulk Density and Particle Size are calculated Avg's
4,Norfolk Sand,SC R1/S5,Field,Ponding,,,,306,381,k x 10^+3,,0.381,,1.59,0.0458257569495631,,,0.433333333333333,15,28.6333333333333,17.4333333333333,3.36666666666667,64.8666666666667,3.36666666666667,31.8333333333333,,1.04083299973306,1.13724814061545,0.300000000000053,,,,,,,,,,,,B22t,,,Bulk Density and Particle Size are Calculated Avg's
4,Norfolk Sand,SC R1/S5,Field,Ponding,,,,306,312,k x 10^+3,,0.312,,1.66333333333333,0.0808290376865486,,,0.666666666666667,19.2,32.9666666666667,16.3666666666667,2.26666666666667,71.4666666666667,0.933333333333333,27.6,,0.814452781524708,1.40000000000001,3.12409987036268,,,,,,,,,,,,B22t,,,Bulk Density and Particle Size are calculated Avg's
4,Norfolk Sand,SC R2/S5,Field,Ponding,,,,306,8.09,k x 10^+3,,0.00809,,0.775,1.09601551083915,,,1.5,23.8,36.1,23.55,5.8,90.75,4.2,5.1,,1.97989898732234,0.989949493661169,5.5154328932551,,,,,,,,,,,,Ap,,,Bulk Density and Particle Size are Calculated Avg's
4,Norfolk Sand,SC R2/S5,Field,Ponding,,,,306,1.86,k x 10^+3,,0.00186,,1.75333333333333,0.119303534454492,,,2.03333333333333,25.1333333333333,36,21.6,5.36666666666667,90.1333333333333,4.7,5.2,,1.05356537528528,0.435889894354057,6.25806146768576,,,,,,,,,,,,Ap,,,Bulk Density and Particle Size are calculated Avg's
4,Norfolk Sand,SC R2/S5,Field,Ponding,,,,306,32.9,k x 10^+3,,0.0329,,1.83,0.0556776436282991,,,1.16666666666667,19.2333333333333,31.8333333333333,22.8333333333333,5.2,80.2666666666667,8.3,11.4333333333333,,0.19999999999998,3.71662929727104,1.4468356276141,,,,,,,,,,,,A3,,,Bulk Density and Particle Size are calculated Avg's
4,Norfolk Sand,SC R2/S5,Field,Ponding,,,,306,19.31,k x 10^+3,,0.01931,,1.70666666666667,0.138684293751431,,,0.866666666666667,17.1666666666667,26.2666666666667,20.6,4.73333333333333,69.6333333333333,8,22.3333333333333,,0.200000000000016,1.91398362932746,2.31804515342848,,,,,,,,,,,,B2,,,Bulk Density and Particle Size are Calculated Avg's
4,Norfolk Sand,SC R2/S5,Field,Ponding,,,,306,64.5,k x 10^+3,,0.0645,,1.61,0.0781024967590665,,,0.966666666666667,15.3666666666667,26.9333333333333,19.2666666666667,3.76666666666667,66.3,6.4,27.3,,1.21243556529822,0.173205080756153,1.10151410945724,,,,,,,,,,,,B21t,,,Bulk Density and Particle Size are calculated Avg's
4,Norfolk Sand,SC R2/S5,Field,Ponding,,,,306,50.12,k x 10^+3,,0.05012,,1.58,0.01,,,1.23333333333333,16.9,27.6,18.3,3.16666666666667,67.2,6.5,26.4,,1.64620776331543,1.47309198626557,0.608276253029826,,,,,,,,,,,,B21t,,,Bulk Density and Particle Size are Calculated Avg's
4,Norfolk Sand,SC R2/S5,Field,Ponding,,,,306,53.2,k x 10^+3,,0.0532,,1.50333333333333,0.0251661147842359,,,0.766666666666667,13.9666666666667,26.2666666666667,17.3,3.7,62,4.33333333333333,33.7333333333333,,0.152752523165183,1.05987420637269,0.611010092660826,,,,,,,,,,,,B21t,,,Bulk Density and Particle Size are calculated Avg's
4,Norfolk Sand,SC R2/S5,Field,Ponding,,,,306,128,k x 10^+3,,0.128,,1.59,0.0458257569495631,,,0.433333333333333,15,28.6333333333333,17.4333333333333,3.36666666666667,64.8666666666667,3.36666666666667,31.8333333333333,,1.04083299973306,1.13724814061545,0.300000000000053,,,,,,,,,,,,B22t,,,Bulk Density and Particle Size are Calculated Avg's
